ID,county,total_cost,benefit_2015,benefit_2050,bc_2015,bc_2050,current_congestion,current_safety,current_freight,current_reliability,current_eta,current_air,current_access,current_score,future_congestion,future_access,future_freight,future_deliverable,future_air,future_volume,future_score
CL-019,Clayton,35957296,6906719.148,3125652.654,2.818093779,1.235808814,0.44,0.18,0,0.00,0.254545455,0.103223295,0.01497724,16.65,0.006980729,0.021255359,0.214429689,0.930551052,0.590992229,0.164102564,22.70
CL-064,Clayton,42003217,6433665.101,2428582.763,2.406294186,0.860734362,0.36,0.31,0,0.00,0.181818182,0.101130496,0.008555592,15.77,0.006699815,0,0.23075251,0.944912912,0.56110577,0.111111111,21.49
CL-101,Clayton,77841911,6598074.905,4153634.982,1.211210156,0.750717941,0.15,0.04,0,0.00,0.127272727,0.029912238,0.012515168,6.14,0.011208495,0.015912823,0.213658999,0.794494502,0.588620053,0.198290598,21.63
CL-AR-180,Clayton,49000000,7281200.517,5016703.883,2.281802324,1.567703428,,,,,,0.368991497,0.020687574,4.10,0.012346199,0.013180419,0.210576239,0.93800377,0.614140073,0.25982906,24.00
CL-AR-181,Clayton,76814696,9317648.066,4508705.878,1.589951172,0.762852516,,,,,,0.479011581,0.015602668,5.10,0.012922074,0.027164339,0.223796538,0.96745699,0.601212125,0.523076923,27.23
CL-AR-247,Clayton,37855953,6648580.648,4059381.178,2.403920883,1.444020022,0.44,0.06,1,1.00,0.381818182,0.070037941,0.007714347,36.30,0.009888196,0.012212224,0.215694412,0.930178448,0.593815154,0.406837607,25.04
CO-329,Cobb,24440996,7689503.838,11090454.58,4.389302554,6.395990403,0.54,0.09,1,1.00,0.436363636,0.032306132,0.011784034,39.33,0.025436822,0.017617144,0.22290728,0.914838831,0.556679466,0.295726496,23.89
CO-367,Cobb,65998514,9837611.911,13095990.49,2.202465503,2.970399313,0.40,0.09,0,0.00,0.3,0.055725996,0.022561656,14.83,0.025507051,0.018448094,0.197652359,0.870060949,0.640503381,0.203418803,23.55
CO-380,Cobb,40666312,8589884.605,9421292.098,3.432169262,3.795870209,,,,,,0.357108406,0.02388959,4.05,0.019017922,0.025000873,0.209548652,0.986352435,0.625890161,0.126495726,23.81
CO-450B,Cobb,33592248,7777865.682,7636853.304,3.602073392,3.549753987,,,,,,0.22451527,0.028302822,2.81,0.019790438,0.048082826,0.20365979,0.985777945,0.659904595,0.090598291,24.49
CO-AR-308,Cobb,18727516,4310137.543,2914980.923,3.967099399,2.597425246,,,,,,0.463445789,0.022343637,5.08,0.012065285,0.025622215,0.197000237,0.998198957,0.665712737,0.181196581,24.75
CW-063,Coweta,24261486,9721506.788,8498610.779,4.066600582,3.578949931,0.44,0.09,0,0.00,0.318181818,0.017733634,0.016210479,15.45,0.022107984,0.023074466,0.161350881,0.725371662,0.683647126,0.15042735,21.87
CW-076,Coweta,12452193,5257394.638,303190.8979,6.819855975,0.171299382,,,,,,0.010513617,0.003285699,0.17,0.002092814,0.006784846,0.215615366,0.962038391,0.594702361,0.011965812,21.05
DK-030,DeKalb,7977000,6391981.123,2849294.631,10.9085708,4.683547223,0.63,0.38,0,0.00,0.754545455,0.099202699,0.003882499,30.81,0.007781336,0.011523509,0.217018418,0.978278856,0.581478185,0.112820513,22.32
DK-330,DeKalb,16610553,5802853.058,2971433.754,5.324194705,2.628252686,0.35,0.35,0,0.00,0.045454545,0.029775731,0.003426641,13.33,0.006446991,0.018438113,0.222709667,0.970919384,0.573416639,0.083760684,22.03
DK-AR-207,DeKalb,81412694,7435458.805,3013493.818,1.550814614,0.607983915,,,,,,0.237420563,0.015739205,2.69,0.006699815,0.007453599,0.220871868,1,0.570128572,0.294017094,24.09
DK-AR-241,DeKalb,738484413,20980364.06,43196695.25,0.488255554,1.028114147,,,,,,0.343111897,0.001385191,3.46,0.108039778,0.018213532,0.176152083,0.998167904,0.842723304,0.531623932,33.40
DK-AR-242,DeKalb,61417949,7044168.256,3567533.62,1.959697708,0.969527324,1.00,0.42,0,0.00,0.754545455,0.226599016,0.015230494,40.20,0.010042699,0.015301463,0.21612916,0.977052215,0.587216405,0.358974359,25.01
DO-019,Douglas,36556231,11933913.64,28756394.04,4.617367876,11.36889946,0.39,0.08,1,1.00,0.318181818,0.039074231,0.009509149,34.24,0.060635429,0.012701312,0.177120386,0.90161043,0.572760599,0.297435897,24.49
DO-022,Douglas,17061656,7492995.32,3770723.117,6.395519676,3.150061884,0.48,0.04,0,0.00,0.109090909,0.075187653,0.014402463,12.78,0.012051239,0.010764923,0.218520275,0.941590261,0.58701603,0.24957265,23.53
DO-220A,Douglas,33014494,6456735.432,4646869.725,2.921885409,2.076381675,0.36,0.08,0,0.00,0.072727273,0.047601996,0.012559212,10.24,0.009087589,0.008783619,0.213639238,0.902867735,0.587419046,0.160683761,22.08
DO-252A,Douglas,15800000,6413278.506,1973780.726,5.416632673,1.562426105,0.38,0.08,0,0.00,0.190909091,0.028812862,0.008242877,12.12,0.005885162,0.010420566,0.212196664,0.950859504,0.584556754,0.177777778,22.61
DO-252B,Douglas,6000000,6545039.694,3475752.436,14.53354606,7.538305064,0.56,0.12,0,0.00,0.454545455,0.02572235,0.005655279,20.16,0.008764537,0.015259042,0.208264169,0.938438517,0.599013226,0.181196581,22.91
FA-085,Fayette,71250289,6009952.377,2111344.925,1.437756605,0.474410339,0.51,0.20,1,1.00,0.3,0.028839546,0.011792842,38.18,0.006362717,0.009936468,0.219231681,0.979536475,0.584484007,0.095726496,22.15
